ticker,company,industry,country,exchange,pe_ratio_5,pe_ratio_4,pe_ratio_3,pe_ratio_2,pe_ratio_1,roic_5,roic_4,roic_3,roic_2,roic_1,fcf_share_5,fcf_share_4,fcf_share_3,fcf_share_2,fcf_share_1,operating_margin_5,operating_margin_4,operating_margin_3,operating_margin_2,operating_margin_1,de_ratio_5,de_ratio_4,de_ratio_3,de_ratio_2,de_ratio_1,shares_outstanding_5,shares_outstanding_4,shares_outstanding_3,shares_outstanding_2,shares_outstanding_1,total_revenue_5,total_revenue_4,total_revenue_3,total_revenue_2,total_revenue_1,eps_5,eps_4,eps_3,eps_2,eps_1,pe_ratio_score,fcf_share_cagr,eps_cagr,fcf_share_rgw,fcf_share_trend,fcf_yield,fcf_share_score,total_revenue_cagr,total_revenue_trend,total_revenue_score,operating_margin_strength,operating_margin_trend,operating_margin_score,roic_strength,roic_trend,roic_score,de_ratio_score,buyback_yield,buyback_trend,buyback_score,ranking_score,has_incomplete_data
COST,Costco Wholesale Corp,Discount Stores,USA,NASDAQ,39.97,40.47,38.44,53.87,51.81,0.176,0.1985,0.1931,0.2189,0.2253,12.09,7.87,15.18,14.9,17.62,0.0373,0.0343,0.0335,0.0365,0.0377,0.65,0.53,0.42,0.42,0.34,441.82,442.66,442.79,443.13,443.24,195.93,226.95,242.29,254.45,275.24,11.08,13.14,14.16,16.56,18.21,-0.2802,0.0987,0.1323,0.7466,0.25,0.1868,0.0349,0.0887,0.25,0.125,0.1508,0.25,0.0377,0.9012,0.25,0.2253,0.7463,0.0,0.0,0.0,0.1326,False
WFC,Wells Fargo & Co,Banks - Diversified,USA,NYSE,9.7,13.13,10.18,13.09,14.9,0.061,0.0391,0.0546,0.0563,0.0634,5.65,0.09,9.31,6.77,6.47,0.356,0.2534,0.2748,0.2902,0.3047,1.06,1.28,1.62,1.6,2.37,3.89,3.83,3.6,3.29,3.09,85.42,77.83,116.22,126.28,124.23,4.95,3.14,4.83,5.37,6.26,-0.1383,0.0345,0.0605,0.57,0.25,0.6937,0.0988,0.0982,0.25,0.1339,1.0,0.25,0.25,0.2536,0.25,0.0634,0.2967,1.0,0.25,0.25,0.1291,False
GS,Goldman Sachs Group Inc,Capital Markets,USA,NYSE,6.44,11.42,16.87,14.12,17.13,0.065,0.0301,0.0246,0.0412,0.0431,45.38,131.7,413.77,199.8,56.28,0.47,0.3063,0.2333,0.3471,0.3715,4.86,3.97,5.51,5.52,5.31,333.57,334.92,323.38,310.65,296.48,64.32,67.26,108.69,126.83,126.21,59.45,30.06,22.87,40.54,51.32,-0.2132,0.0553,-0.0361,1.2,0.25,0.6402,0.1921,0.1836,0.25,0.2098,1.0,0.25,0.25,0.1724,0.25,0.0431,0.1585,1.0,0.25,0.25,0.1281,False
GE,GE Aerospace,Aerospace & Defense,USA,NYSE,,,15.28,27.91,37.88,0.0364,0.0133,0.1827,0.1537,0.2273,1.9,4.33,3.94,3.36,6.8,0.0601,0.0248,0.1336,0.1733,0.1802,0.94,0.78,0.79,1.05,1.15,1.1,1.09,1.09,1.07,1.05,74.17,58.12,35.35,38.7,45.85,1.06,2.09,2.24,4.6,6.37,-0.3572,0.3754,0.5657,0.6637,0.25,0.2818,0.0468,-0.1133,0.25,0.0045,0.7208,0.25,0.1802,0.9092,0.25,0.2273,0.4651,0.9346,0.25,0.2336,0.1257,True
C,Citigroup Inc,Banks - Diversified,USA,NYSE,5.95,6.47,12.72,11.84,16.69,0.0509,0.0345,0.0206,0.028,0.0301,6.19,6.25,4.76,0.3,9.03,0.3834,0.2545,0.178,0.218,0.2343,2.36,2.61,2.89,2.85,3.39,1.98,1.94,1.9,1.88,1.75,80.17,101.59,157.1,170.98,169.16,10.14,7.0,4.04,5.94,6.99,-0.4096,0.099,-0.0888,1.2,0.25,0.774,0.2322,0.2052,0.25,0.2232,0.9372,0.25,0.2343,0.1204,0.25,0.0301,0.2278,1.0,0.25,0.25,0.1178,False
RTX,RTX Corp,Aerospace & Defense,USA,NYSE,33.6,28.85,37.8,32.57,36.95,0.037,0.0494,0.0307,0.0468,0.0668,3.27,3.28,3.81,3.37,5.85,0.0725,0.0803,0.0504,0.0826,0.1003,0.46,0.47,0.76,0.72,0.61,1.49,1.46,1.33,1.33,1.34,64.36,67.07,68.92,80.74,88.6,4.27,4.78,5.06,5.73,6.29,-0.0997,0.1565,0.1017,1.2,0.25,0.2517,0.0755,0.0832,0.25,0.1205,0.4012,0.25,0.1003,0.2672,0.25,0.0668,0.6211,0.0,0.25,0.0,0.1133,False
UNH,Unitedhealth Group Inc,Healthcare Plans,USA,NYSE,27.77,25.03,22.06,32.62,24.94,0.1529,0.1586,0.156,0.0901,0.0712,20.8,24.64,27.38,22.29,17.65,0.0833,0.0877,0.0871,0.0807,0.0424,0.7,0.8,0.76,0.88,0.88,941.0,934.0,924.0,915.0,906.0,287.6,324.16,371.62,400.28,447.57,19.02,22.19,25.12,27.66,16.35,0.0036,-0.0402,-0.0371,0.0,0.25,0.4328,0.0,0.1169,0.25,0.1518,0.1696,0.25,0.0424,0.2848,0.25,0.0712,0.5319,0.4918,0.25,0.123,0.1128,False
CSCO,Cisco Systems Inc,Communication Equipment,USA,NASDAQ,22.15,16.1,16.95,18.85,26.98,0.2091,0.2362,0.2507,0.1754,0.1488,3.48,3.04,4.64,2.51,3.32,0.2732,0.2738,0.2725,0.2398,0.2199,0.31,0.27,0.21,0.71,0.63,4.22,4.11,4.07,4.01,3.96,49.82,51.56,57.0,53.8,56.65,3.22,3.36,3.89,3.73,3.81,-0.4313,-0.0117,0.043,0.0,0.25,0.323,0.0,0.0326,0.25,0.0446,0.8796,0.25,0.2199,0.5952,0.25,0.1488,0.6135,0.6234,0.25,0.1559,0.1107,False
IBM,International Business Machines Corp,Information Technology Services,USA,NYSE,21.05,78.42,20.1,34.2,26.53,0.0651,0.0261,0.1033,0.0776,0.1245,11.87,9.96,13.76,13.23,12.76,0.1225,0.1283,0.1698,0.1704,0.2089,2.92,2.46,2.66,2.14,1.98,898.07,906.09,915.01,926.29,936.95,57.35,60.53,61.86,62.75,67.54,7.93,9.13,9.62,10.33,11.59,0.0,0.0182,0.0995,0.1833,0.25,0.415,0.019,0.0417,0.25,0.0625,0.8356,0.25,0.2089,0.498,0.25,0.1245,0.3356,0.0,0.0,0.0,0.1082,False
PEP,PepsiCo Inc,Beverages - Non-Alcoholic,USA,NASDAQ,30.96,28.12,25.89,22.0,23.96,0.1401,0.1644,0.1603,0.1643,0.133,5.03,4.04,5.73,5.22,5.59,0.1442,0.1346,0.154,0.1556,0.1577,2.64,2.42,2.54,2.65,2.6,1.38,1.38,1.37,1.37,1.37,79.48,86.4,91.47,91.85,93.92,6.26,6.79,7.62,8.16,8.14,0.0745,0.0267,0.0679,0.3941,0.25,0.2866,0.0282,0.0426,0.25,0.0714,0.6308,0.25,0.1577,0.532,0.25,0.133,0.2778,0.0,0.25,0.0,0.1071,False
